comment,cleaned_comment,case_folding,normalization,label,text_en
Ini iPhone orange mau ala ala Hermes apa ya??? Malah makin aneh??,Ini iPhone orange mau ala ala Hermes apa ya Malah makin aneh,ini iphone orange mau ala ala hermes apa ya malah makin aneh,ini iphone orange mau ala ala hermes apa ya malah makin aneh,0,ini iphone orange mau ala ala hermes apa ya malah makin aneh
Alhamdulilah 16 promax gasalah beli ??,Alhamdulilah 16 promax gasalah beli ,alhamdulilah 16 promax gasalah beli ,alhamdulilah 16 promax beli,1,alhamdulilah 16 promax beli
"yahhh, gajadi ngalahin Oppo Find X8 Ulta dong kameranya kalau gitu hwhhwhw,  semoga bisa di fix melalui software update",yahhh gajadi ngalahin Oppo Find X8 Ulta dong kameranya kalau gitu hwhhwhw  semoga bisa di fix melalui software update,yahhh gajadi ngalahin oppo find x8 ulta dong kameranya kalau gitu hwhhwhw  semoga bisa di fix melalui software update,ya gajadi mengalahkan oppo find x8 ulta dong kameranya kalau begitu hwhhwhw semoga bisa di fix melalui software update,0,ya gajadi mengalahkan oppo find x8 ulta dong kameranya kalau begitu hwhhwhw semoga bisa di fix melalui software update
"Kayak poco ngakak ???? <a href=""https://www.youtube.com/watch?v=9-poYwCZxDQ&amp;t=1504"">25:04</a>",Kayak poco ngakak  a href,kayak poco ngakak  a href,kayak poco mengakak a href,1,like poco gagging a href
Warna kare ?? kan dari india,Warna kare  kan dari india,warna kare  kan dari india,warna kare kan dari india,0,warna kare kan dari india
"ip udh 17 tpi gajih ttp aja gak naik²,sedihnyaa",ip udh 17 tpi gajih ttp aja gak naiksedihnyaa,ip udh 17 tpi gajih ttp aja gak naiksedihnyaa,iphone sudah 17 tapi gajih tetap saja tidak naiksedihnyaa,0,iphone sudah 17 tapi gajih tetap saja tidak naiksedihnyaa
Itu warna bitcoin..karna lagi masa bull market ??,Itu warna bitcoinkarna lagi masa bull market ,itu warna bitcoinkarna lagi masa bull market ,itu warna bitcoinkarna lagi masa bull market,1,itu warna bitcoinkarna lagi masa bull market
"Kenapa ya hidup ini yang di atas, di atas banget. yang di bawah, dibawa banget. Mama Aku mau bli HP android harga 2jutaan susah nya minta ampun. Aneh GK si",Kenapa ya hidup ini yang di atas di atas banget yang di bawah dibawa banget Mama Aku mau bli HP android harga 2jutaan susah nya minta ampun Aneh GK si,kenapa ya hidup ini yang di atas di atas banget yang di bawah dibawa banget mama aku mau bli hp android harga 2jutaan susah nya minta ampun aneh gk si,kenapa ya hidup ini yang di atas di atas banget yang di bawah dibawa banget mama aku mau beli hp android harga 2jutaan susah ya meminta ampun aneh tidak sih,1,kenapa ya hidup ini yang di atas di atas banget yang di bawah dibawa banget mama aku mau beli hp android harga 2jutaan susah ya meminta ampun aneh tidak sih
Bang David kapan review Tecno spark go 2. Kali kali review hp dibawah 1 juta ??,Bang David kapan review Tecno spark go 2 Kali kali review hp dibawah 1 juta ,bang david kapan review tecno spark go 2 kali kali review hp dibawah 1 juta ,abang david kapan review tecno spark go 2 kali kali review hp dibawah 1 juta,1,abang david kapan review tecno spark go 2 kali kali review hp dibawah 1 juta
"Liat Iphone 17 yang warna oren, jadi keingat hp nokia N8",Liat Iphone 17 yang warna oren jadi keingat hp nokia N8,liat iphone 17 yang warna oren jadi keingat hp nokia n8,lihat iphone 17 yang warna oren jadi keingat hp nokia n8,0,lihat iphone 17 yang warna oren jadi keingat hp nokia n8
Bang nanti video unboxing iqoo 15 sama neo 11 ya ??,Bang nanti video unboxing iqoo 15 sama neo 11 ya ,bang nanti video unboxing iqoo 15 sama neo 11 ya ,abang nanti video unboxing iqoo 15 sama neo 11 ya,1,abang nanti video unboxing iqoo 15 sama neo 11 ya
Muka bang david happy bngt ya saat ngomong  saya beli iphone 17 2 varian saya yang nonton??????,Muka bang david happy bngt ya saat ngomong  saya beli iphone 17 2 varian saya yang nonton,muka bang david happy bngt ya saat ngomong  saya beli iphone 17 2 varian saya yang nonton,muka abang david happy banget ya saat mengomong saya beli iphone 17 2 varian saya yang menonton,1,muka abang david happy banget ya saat mengomong saya beli iphone 17 2 varian saya yang menonton
Bang coba reviu xiomi 17 pro max,Bang coba reviu xiomi 17 pro max,bang coba reviu xiomi 17 pro max,abang coba reviu xiomi 17 pro max,1,abang coba reviu xiomi 17 pro max
Apa cuma saya yang gak tertarik dengan IPHONE?,Apa cuma saya yang gak tertarik dengan IPHONE,apa cuma saya yang gak tertarik dengan iphone,apa cuma saya yang tidak tertarik dengan iphone,0,apa cuma saya yang tidak tertarik dengan iphone
Poco c85 bg,Poco c85 bg,poco c85 bg,poco c85 bang,1,poco c85 bang
Ditunggu iPhone 17 pro HDC??????,Ditunggu iPhone 17 pro HDC,ditunggu iphone 17 pro hdc,ditunggu iphone 17 pro hdc,2,ditunggu iphone 17 pro hdc
Kalo udh resmi indo review flagship xiaomi 17 Pro bg.. ????,Kalo udh resmi indo review flagship xiaomi 17 Pro bg ,kalo udh resmi indo review flagship xiaomi 17 pro bg ,kalau sudah resmi indonesia review flagship xiaomi 17 pro bang,1,kalau sudah resmi indonesia review flagship xiaomi 17 pro bang
mahalan pajaknya daripada HP gw ??,mahalan pajaknya daripada HP gw ,mahalan pajaknya daripada hp gw ,mahalan pajaknya daripada hp gue,0,mahalan pajaknya daripada hp gue
"Kenapa ga bikin dua video unboxing aja bang, kan mayan tuh buat balikin modal beli ipong nya??",Kenapa ga bikin dua video unboxing aja bang kan mayan tuh buat balikin modal beli ipong nya,kenapa ga bikin dua video unboxing aja bang kan mayan tuh buat balikin modal beli ipong nya,kenapa tidak bikin dua video unboxing saja abang kan lumayan tuh buat balikin modal beli iphone ya,1,kenapa tidak bikin dua video unboxing saja abang kan lumayan tuh buat balikin modal beli iphone ya
INFINIX GT 30 BASIC BANG,INFINIX GT 30 BASIC BANG,infinix gt 30 basic bang,infinix begitu 30 basic abang,1,Infinix is ​​so 30 basic bro
Jujur kalau di kaca mata saya camera kok bagusan 16pro,Jujur kalau di kaca mata saya camera kok bagusan 16pro,jujur kalau di kaca mata saya camera kok bagusan 16pro,jujur kalau di kaca mata saya camera kok bagusan 16pro,0,jujur kalau di kaca mata saya camera kok bagusan 16pro
Marketing tetaplah marketing. Udah paling bener itu wkwkwkwk,Marketing tetaplah marketing Udah paling bener itu wkwkwkwk,marketing tetaplah marketing udah paling bener itu wkwkwkwk,marketing tetaplah marketing sudah paling benar itu wkwkwkwk,0,marketing tetaplah marketing sudah paling benar itu wkwkwkwk
iphone pro yang ini tampilannya NGGAK BANGET,iphone pro yang ini tampilannya NGGAK BANGET,iphone pro yang ini tampilannya nggak banget,iphone pro yang ini tampilannya tidak banget,0,This iPhone Pro doesn't look that great
Harga di Amerika cuma 13 juta disini jadi 30jta????,Harga di Amerika cuma 13 juta disini jadi 30jta,harga di amerika cuma 13 juta disini jadi 30jta,harga di amerika cuma 13 juta disini jadi 30jta,1,harga di amerika cuma 13 juta disini jadi 30jta
Bang David tolong kasih rekomendasi hp 3 jutaan plss,Bang David tolong kasih rekomendasi hp 3 jutaan plss,bang david tolong kasih rekomendasi hp 3 jutaan plss,abang david tolong kasih rekomendasi hp 3 jutaan plss,1,"Brother David, please give a recommendation for a 3 million cellphone, pls"
Uang pajaknya nyampenya kemana itu kak ?!,Uang pajaknya nyampenya kemana itu kak ,uang pajaknya nyampenya kemana itu kak ,uang pajaknya sampainya kemana itu kak,0,uang pajaknya sampainya kemana itu kak
Review Realme 15 5G bang atau yg Pro 5G????????,Review Realme 15 5G bang atau yg Pro 5G,review realme 15 5g bang atau yg pro 5g,review realme 15 5g abang atau yang pro 5g,1,review realme 15 5g abang atau yang pro 5g
Mirip Poco X7 Pro,Mirip Poco X7 Pro,mirip poco x7 pro,mirip poco x7 pro,0,mirip poco x7 pro
Harga 30 jt . Sudah dapat emas berapa gram ??. Kira2 yang penting tiap tahum jaminan  harga  naik,Harga 30 jt  Sudah dapat emas berapa gram  Kira2 yang penting tiap tahum jaminan  harga  naik,harga 30 jt  sudah dapat emas berapa gram  kira2 yang penting tiap tahum jaminan  harga  naik,harga 30 juta sudah dapat emas berapa gram yang penting tiap tahum jaminan harga naik,0,"the price is 30 million, how many grams of gold do you get? What's important is that every year the price guarantee will increase"
Bismillahhirrohmanirrohim <br>Allahummasollialla sayiddina muhammad.<br><br>Iphone 17 pro max tahun depan,Bismillahhirrohmanirrohim Allahummasollialla sayiddina muhammadIphone 17 pro max tahun depan,bismillahhirrohmanirrohim allahummasollialla sayiddina muhammadiphone 17 pro max tahun depan,bismillahhirrohmanirrohim allahummasollialla sayiddina muhammadiphone 17 pro max tahun depan,0,bismillahhirrohmanirrohim allahummasollialla sayiddina muhammadiphone 17 pro max tahun depan
lebih keren Xiomi 17 promax,lebih keren Xiomi 17 promax,lebih keren xiomi 17 promax,lebih keren xiomi 17 promax,0,cooler xiaomi 17 pro max
Bang apakah 120fps iPhone sama dengan 120fps android?,Bang apakah 120fps iPhone sama dengan 120fps android,bang apakah 120fps iphone sama dengan 120fps android,abang apakah 120fps iphone sama dengan 120fps android,1,"Bro, is iPhone's 120fps the same as Android's 120fps?"
17 is the absolute winner!,17 is the absolute winner,17 is the absolute winner,17 is the absolute winner,0,17 is the absolute winner
Ditingkatin dikit jadi 17 ditingkatin dikit jadi 18 ditingkatin tipis2  tapi untungnya tetap selangit????,Ditingkatin dikit jadi 17 ditingkatin dikit jadi 18 ditingkatin tipis2  tapi untungnya tetap selangit,ditingkatin dikit jadi 17 ditingkatin dikit jadi 18 ditingkatin tipis2  tapi untungnya tetap selangit,ditingkatin dikit jadi 17 ditingkatin dikit jadi 18 ditingkatin tipis2 tapi untungnya tetap selangit,0,increased slightly to 17 increased slightly to 18 increased slightly but the profits are still exorbitant
"Smpe indo, 17 basic harga finalx brapa ya suhu,, mohon info.. soal mw beli 16 skrng atw tuggu 17..",Smpe indo 17 basic harga finalx brapa ya suhu mohon info soal mw beli 16 skrng atw tuggu 17,smpe indo 17 basic harga finalx brapa ya suhu mohon info soal mw beli 16 skrng atw tuggu 17,sampai indonesia 17 basic harga finalx berapa ya suhu mohon info soal mau beli 16 sekarang atau tuggu 17,1,to Indonesia 17 basic final price
saran temen <br>ipad gen 11 atau huawei matepad 11.5,saran temen ipad gen 11 atau huawei matepad 115,saran temen ipad gen 11 atau huawei matepad 115,saran teman ipad gen 11 atau huawei matepad 115,1,friends suggest ipad gen 11 or huawei matepad 115
gilak,gilak,gilak,gila,1,gila
iPhone 17 meniru Android yang mempunyai refresh rate 120Hz,iPhone 17 meniru Android yang mempunyai refresh rate 120Hz,iphone 17 meniru android yang mempunyai refresh rate 120hz,iphone 17 meniru android yang mempunyai refresh rate 120hz,0,iphone 17 meniru android yang mempunyai refresh rate 120hz
"sampai saat ini ya keduanya tetap saya pakai, saya tetap pakai android dan Apple, <br>iPhone saya pakai  khusus untuk banking, dokumen penting dan bisnis.<br>untuk lainnya saya tetap pakai Samsung dan Xiaomi",sampai saat ini ya keduanya tetap saya pakai saya tetap pakai android dan Apple iPhone saya pakai  khusus untuk banking dokumen penting dan bisnisuntuk lainnya saya tetap pakai Samsung dan Xiaomi,sampai saat ini ya keduanya tetap saya pakai saya tetap pakai android dan apple iphone saya pakai  khusus untuk banking dokumen penting dan bisnisuntuk lainnya saya tetap pakai samsung dan xiaomi,sampai saat ini ya keduanya tetap saya pakai saya tetap pakai android dan apple iphone saya pakai khusus untuk banking dokumen penting dan bisnisuntuk lainnya saya tetap pakai samsung dan xiaomi,0,"Until now, yes, I still use both, I still use Android and Apple iPhone, I use it specifically for banking, important documents and business, for other things I still use Samsung and Xiaomi."
"ijo miskin, kebetulan rumah saya pake cat itu lagi, tapi ya sudah lah bersukur punya rumah sendiri",ijo miskin kebetulan rumah saya pake cat itu lagi tapi ya sudah lah bersukur punya rumah sendiri,ijo miskin kebetulan rumah saya pake cat itu lagi tapi ya sudah lah bersukur punya rumah sendiri,ijo miskin kebetulan rumah saya pakai cat itu lagi tapi ya sudah lah bersukur punya rumah sendiri,0,"Poor green, my house happens to be using that paint again, but yes, I'm grateful to have my own house"
Spigen &amp; Momax TOP! ??,Spigen amp Momax TOP ,spigen amp momax top ,spigen amp momax top,2,spigen amp momax top
"Setelah melihat banyak review ip17pro,  saya putuskan gak jadi beli.  jadinya beli moto g45  2jt dapat memori besar??..",Setelah melihat banyak review ip17pro  saya putuskan gak jadi beli  jadinya beli moto g45  2jt dapat memori besar,setelah melihat banyak review ip17pro  saya putuskan gak jadi beli  jadinya beli moto g45  2jt dapat memori besar,setelah melihat banyak review ip17pro saya putuskan tidak jadi beli jadinya beli moto g45 2jt dapat memori besar,0,"After seeing many reviews of the IP 17 Pro, I decided not to buy it, so I bought a Moto G45 2 million, it gets big memory."
"menurut gua pemerintah singapura, beruntung punya apple store dinegaranya",menurut gua pemerintah singapura beruntung punya apple store dinegaranya,menurut gua pemerintah singapura beruntung punya apple store dinegaranya,menurut gua pemerintah singapura beruntung punya apple store dinegaranya,2,"According to me, the Singapore government is lucky to have an Apple Store in their country"
Ijo Miskin ??,Ijo Miskin ,ijo miskin ,ijo miskin,0,ijo miskin
Saya mending iPhone 16 aja mas bro gak usah ganti.... Menurut saya iphone gagal ini 17 gak da perubahan berarti..... Saham iPhone juga turun...... Mending masih keren XIOMI 17 PRO MAX desainnya lebih mantap,Saya mending iPhone 16 aja mas bro gak usah ganti Menurut saya iphone gagal ini 17 gak da perubahan berarti Saham iPhone juga turun Mending masih keren XIOMI 17 PRO MAX desainnya lebih mantap,saya mending iphone 16 aja mas bro gak usah ganti menurut saya iphone gagal ini 17 gak da perubahan berarti saham iphone juga turun mending masih keren xiomi 17 pro max desainnya lebih mantap,saya mending iphone 16 saja mas bro tidak usah ganti menurut saya iphone gagal ini 17 tidak dah perubahan berarti saham iphone juga turun mending masih keren xiomi 17 pro max desainnya lebih mantap,0,"I'd rather just have an iPhone 16, bro, no need to replace it. In my opinion, the iPhone 17 is a failure, no change, which means the iPhone stock has also gone down, it's better if the Xiaomi 17 Pro Max has a better design."
aku nonton sambil makan gppa kn?,aku nonton sambil makan gppa kn,aku nonton sambil makan gppa kn,aku menonton sambil makan gppa kan,1,"I'm watching while eating, it's okay"
"Mungkin harus 4 orang atau lebih buat centre stage landscape nya bang <a href=""https://www.youtube.com/watch?v=9-poYwCZxDQ&amp;t=1047"">17:27</a>",Mungkin harus 4 orang atau lebih buat centre stage landscape nya bang a href,mungkin harus 4 orang atau lebih buat centre stage landscape nya bang a href,mungkin harus 4 orang atau lebih buat centre stage landscape ya abang a href,1,mungkin harus 4 orang atau lebih buat centre stage landscape ya abang a href
bang david bikinin baterai iPhone 17 vs iPhone 16 plus,bang david bikinin baterai iPhone 17 vs iPhone 16 plus,bang david bikinin baterai iphone 17 vs iphone 16 plus,abang david membikin baterai iphone 17 vs iphone 16 plus,1,abang david membikin baterai iphone 17 vs iphone 16 plus
Poco,Poco,poco,poco,0,bit
Hp ini adalah hp yg mengalami kemunduran teknologi saat ini dngan harga selangit tapi fitur teknologi sulit,Hp ini adalah hp yg mengalami kemunduran teknologi saat ini dngan harga selangit tapi fitur teknologi sulit,hp ini adalah hp yg mengalami kemunduran teknologi saat ini dngan harga selangit tapi fitur teknologi sulit,hp ini adalah hp yang mengalami kemunduran teknologi saat ini dengan harga selangit tapi fitur teknologi sulit,0,This cellphone is a cellphone that is experiencing a setback in current technology with exorbitant prices but difficult technological features
Xiaomi 17 series idola ku teteup,Xiaomi 17 series idola ku teteup,xiaomi 17 series idola ku teteup,xiaomi 17 series idola ku teteup,1,Xiaomi 17 series is still my idol
"Apa cuma aku saja yg gk ngeh dg I phone, gk seberapa minat, lihat anak buah pakai I phone selalu ngecas, baru beberapa jam pakai sudah low battery",Apa cuma aku saja yg gk ngeh dg I phone gk seberapa minat lihat anak buah pakai I phone selalu ngecas baru beberapa jam pakai sudah low battery,apa cuma aku saja yg gk ngeh dg i phone gk seberapa minat lihat anak buah pakai i phone selalu ngecas baru beberapa jam pakai sudah low battery,apa cuma aku saja yang tidak engah dengan i phone tidak seberapa minat lihat anak buah pakai i phone selalu ngecas baru beberapa jam pakai sudah low battery,0,apa cuma aku saja yang tidak engah dengan i phone tidak seberapa minat lihat anak buah pakai i phone selalu ngecas baru beberapa jam pakai sudah low battery
bangg bahas vivo y19s gt dongg heheh,bangg bahas vivo y19s gt dongg heheh,bangg bahas vivo y19s gt dongg heheh,bang bahas vivo y19s begitu dong heheh,1,"Bro, let's talk about the Vivo Y19s like that, heheh"
Poco naik kelasss,Poco naik kelasss,poco naik kelasss,poco naik kelasss,0,Poco goes up to class
Buset baru sekarang Base iPhone 17 120 hz. Samsung udah lama sekali untuk s seriesnya ??. Kasian amat pengguna iPhone yang 16 kebawah ????,Buset baru sekarang Base iPhone 17  hz Samsung udah lama sekali untuk s seriesnya  Kasian amat pengguna iPhone yang 16 kebawah ,buset baru sekarang base iphone 17  hz samsung udah lama sekali untuk s seriesnya  kasian amat pengguna iphone yang 16 kebawah ,buset baru sekarang base iphone 17 hz samsung sudah lama sekali untuk si seriesnya kasihan amat pengguna iphone yang 16 kebawah,0,new bus now base iphone 17 hz samsung it's been a long time for this series really sorry for iphone users who are 16 and under
Itel s26 ultra dong bang,Itel s26 ultra dong bang,itel s26 ultra dong bang,itel s26 ultra dong abang,1,itel s26 ultra bro
"60hz iphone kayak 120hz, 120hz iphone kayak 560hz",60hz iphone kayak 120hz 120hz iphone kayak 560hz,60hz iphone kayak 120hz 120hz iphone kayak 560hz,60hz iphone kayak 120hz 120hz iphone kayak 560hz,0,60hz iphone kayak 120hz 120hz iphone kayak 560hz
Bang david beli yg air nya ga nanti?,Bang david beli yg air nya ga nanti,bang david beli yg air nya ga nanti,abang david beli yang air ya tidak nanti,1,"David's brother bought the water one, but not later"
"Cara membuat apple fanboy bahagia mudah ya, gk perlu inovasi aneh&quot; cukup dengan kasih tema warna baru &amp; hadirkan 120 hz udah seneng aja! apa kabar android 2 jutaan udah 120 hz??",Cara membuat apple fanboy bahagia mudah ya gk perlu inovasi anehquot cukup dengan kasih tema warna baru amp hadirkan  hz udah seneng aja apa kabar android 2 jutaan udah  hz,cara membuat apple fanboy bahagia mudah ya gk perlu inovasi anehquot cukup dengan kasih tema warna baru amp hadirkan  hz udah seneng aja apa kabar android 2 jutaan udah  hz,cara membuat apple fanboy bahagia mudah ya tidak perlu inovasi anehquot cukup dengan kasih tema warna baru amp hadirkan hz sudah senang saja apa kabar android 2 jutaan sudah hz,0,cara membuat apple fanboy bahagia mudah ya tidak perlu inovasi anehquot cukup dengan kasih tema warna baru amp hadirkan hz sudah senang saja apa kabar android 2 jutaan sudah hz
Saya nunggu iPhone 18 lebih canggih,Saya nunggu iPhone 18 lebih canggih,saya nunggu iphone 18 lebih canggih,saya menunggu iphone 18 lebih canggih,0,I'm waiting for iphone 18 to be more sophisticated
Sepertinya hrus ada 3 orng,Sepertinya hrus ada 3 orng,sepertinya hrus ada 3 orng,sepertinya harus ada 3 orang,1,Looks like there should be 3 people
Aura Android nya kuat banget,Aura Android nya kuat banget,aura android nya kuat banget,aura android ya kuat banget,0,The Android aura is really strong
Mau nanya nih bang. Kalau orang luar negri misalnya dia mau beli iphone 17 terbaru itu mereka di negaranya apakah ada juga bea cukai atau sejenisnya ya? Jadi kaya di kita harus bayar biar bersertifikat bisa masuk di negara Indonesia. Di negara lain gitu juga engga???,Mau nanya nih bang Kalau orang luar negri misalnya dia mau beli iphone 17 terbaru itu mereka di negaranya apakah ada juga bea cukai atau sejenisnya ya Jadi kaya di kita harus bayar biar bersertifikat bisa masuk di negara Indonesia Di negara lain gitu juga engga,mau nanya nih bang kalau orang luar negri misalnya dia mau beli iphone 17 terbaru itu mereka di negaranya apakah ada juga bea cukai atau sejenisnya ya jadi kaya di kita harus bayar biar bersertifikat bisa masuk di negara indonesia di negara lain gitu juga engga,mau bertanya nih abang kalau orang luar negeri misalnya dia mau beli iphone 17 terbaru itu mereka di negaranya apakah ada juga bea cukai atau sejenisnya ya jadi kayak di kita harus bayar biar bersertifikat bisa masuk di negara indonesia di negara lain begitu juga tidak,0,"I want to ask, bro, if someone from abroad, for example, if they want to buy the latest iPhone 17, if they are in their country, are there also customs duties or something like that, so it's like we have to pay to be certified to be able to enter Indonesia in other countries, and so is it?"
ngakak banget pas bang david bilang IJO MISKIN ??????,ngakak banget pas bang david bilang IJO MISKIN ,ngakak banget pas bang david bilang ijo miskin ,mengakak banget pas abang david bilang ijo miskin,0,I really laughed when David's brother said Ijo was poor
17 pro berasa china banget Design nya,17 pro berasa china banget Design nya,17 pro berasa china banget design nya,17 pro berasa china banget design ya,0,"The 17 pro design really feels Chinese, doesn't it?"
"<a href=""https://www.youtube.com/watch?v=9-poYwCZxDQ&amp;t=1504"">25:04</a> ????",a href ,a href ,a href,1,a href
Telat bgt bang,Telat bgt bang,telat bgt bang,telat banget abang,1,very late bro
"Gk sabar mau upgrade dari silver ke ijo dawet keren dan kalem kayaknya <a href=""https://www.youtube.com/watch?v=9-poYwCZxDQ&amp;t=388"">6:28</a>",Gk sabar mau upgrade dari silver ke ijo dawet keren dan kalem kayaknya a href,gk sabar mau upgrade dari silver ke ijo dawet keren dan kalem kayaknya a href,tidak sabar mau upgrade dari silver ke ijo dawet keren dan kalem kayaknya a href,1,"Can't wait to upgrade from silver to green, dawet, cool and calm, like a href"
B aj ah inovasi nya ??,B aj ah inovasi nya ,b aj ah inovasi nya ,b saja ah inovasi ya,0,b saja ah inovasi ya
rebranding 16 wkwk,rebranding 16 wkwk,rebranding 16 wkwk,rebranding 16 wkwk,1,rebranding 16 haha
Yg air gak ada bang?,Yg air gak ada bang,yg air gak ada bang,yang air tidak ada abang,1,the water has no brother
Iphone 7 ae dorong tau tuku . Lah kok wis ttok iphone 17??????,Iphone 7 ae dorong tau tuku  Lah kok wis ttok iphone 17,iphone 7 ae dorong tau tuku  lah kok wis ttok iphone 17,iphone 7 saja dorong tau tuku lah kok wis ttok iphone 17,0,"I just pushed the iPhone 7, you know that's it, how come it's not the iPhone 17"
Ditunggu ip 17 air king????,Ditunggu ip 17 air king,ditunggu ip 17 air king,ditunggu iphone 17 air king,1,Waiting for the iPhone 17 Air King
Bandingin sama 16 base selisih banyak ga sih layarnya itu,Bandingin sama 16 base selisih banyak ga sih layarnya itu,bandingin sama 16 base selisih banyak ga sih layarnya itu,bandingkan sama 16 base selisih banyak tidak sih layarnya itu,1,"Compare it with 16 base, is there a big difference in the screen?"
Saya masih stay di 12 pro karena desain gitu2 aja dan berharap desain 17 pro bagus malah mengecewakan ??,Saya masih stay di 12 pro karena desain gitu2 aja dan berharap desain 17 pro bagus malah mengecewakan ,saya masih stay di 12 pro karena desain gitu2 aja dan berharap desain 17 pro bagus malah mengecewakan ,saya masih stay di 12 pro karena desain saja dan berharap desain 17 pro bagus malah mengecewakan,0,I'm still staying with the 12 pro because of the design alone and hoping that the 17 pro's design will be good instead it's disappointing
"Ini steve jobs kalo bangkit dari kubur lalu ngeliat desain iphone 17 pro kayak gitu, pasti bakal ngamuk sih",Ini steve jobs kalo bangkit dari kubur lalu ngeliat desain iphone 17 pro kayak gitu pasti bakal ngamuk sih,ini steve jobs kalo bangkit dari kubur lalu ngeliat desain iphone 17 pro kayak gitu pasti bakal ngamuk sih,ini steve jobs kalau bangkit dari kubur lalu melihat desain iphone 17 pro kayak begitu pasti bakal ngamuk sih,0,"This is Steve Jobs. If he rose from the grave and saw the design of the iPhone 17 Pro like that, he would definitely be furious"
"ga tau apa apple akan bertahan lama atau nasip nya sama kaya nokia dan bb ,karna kelihatan banget akhir akhir ini iPhone cuma jual &quot;royalitas&quot; consumen terhadap mereka , kelihatan kaya terlalu besar kepala ni brand ,dengan minim inovasi di saat hp lain udah 144 , fitur ai udah gila gila an dan mereka malah masih asik dengan inovasi yang udah jauh ketinggalan android so bored ... <br>who know kita lihat aja",ga tau apa apple akan bertahan lama atau nasip nya sama kaya nokia dan bb karna kelihatan banget akhir akhir ini iPhone cuma jual quotroyalitasquot consumen terhadap mereka  kelihatan kaya terlalu besar kepala ni brand dengan minim inovasi di saat hp lain udah   fitur ai udah gila gila an dan mereka malah masih asik dengan inovasi yang udah jauh ketinggalan android so bored  who know kita lihat aja,ga tau apa apple akan bertahan lama atau nasip nya sama kaya nokia dan bb karna kelihatan banget akhir akhir ini iphone cuma jual quotroyalitasquot consumen terhadap mereka  kelihatan kaya terlalu besar kepala ni brand dengan minim inovasi di saat hp lain udah   fitur ai udah gila gila an dan mereka malah masih asik dengan inovasi yang udah jauh ketinggalan android so bored  who know kita lihat aja,tidak tau apa apple akan bertahan lama atau nasip ya sama kayak nokia dan bb karena kelihatan banget akhir akhir ini iphone cuma jual quotroyalitasquot consumen terhadap mereka kelihatan kayak terlalu besar kepala nih brand dengan minim inovasi di saat hp lain sudah fitur ai sudah gila gila an dan mereka malah masih asik dengan inovasi yang sudah jauh ketinggalan android sok bored who know kita lihat saja,0,tidak tau apa apple akan bertahan lama atau nasip ya sama kayak nokia dan bb karena kelihatan banget akhir akhir ini iphone cuma jual quotroyalitasquot consumen terhadap mereka kelihatan kayak terlalu besar kepala nih brand dengan minim inovasi di saat hp lain sudah fitur ai sudah gila gila an dan mereka malah masih asik dengan inovasi yang sudah jauh ketinggalan android sok bored who know kita lihat saja
Design POCO??,Design POCO,design poco,design poco,0,design little
"<a href=""https://www.youtube.com/watch?v=9-poYwCZxDQ&amp;t=1637"">27:17</a> ya elah bang, masa disuruh balik sii ??<br>Ya udah, lanjut aja, kebetulan emang gak niat sama sekali beli 17 biasa atau 17 air, rencananya mau beli 16 pro max atau 17 pro kalo sudah ready di Indonesia. Ane nunggu review lain, kali aja IP 17 pro nggak terlalu worth it. Biasanya dua bulan tiga bulan baru ketahuan kekurangan produk baru iPhone. Terutama zoom, soalnya ini fitur yg paling ane incer. Kalo yg lain sama aja, gak ada perubahan ??",Ya udah lanjut aja kebetulan emang gak niat sama sekali beli 17 biasa atau 17 air rencananya mau beli 16 pro max atau 17 pro kalo sudah ready di Indonesia Ane nunggu review lain kali aja IP 17 pro nggak terlalu worth it Biasanya dua bulan tiga bulan baru ketahuan kekurangan produk baru iPhone Terutama zoom soalnya ini fitur yg paling ane incer Kalo yg lain sama aja gak ada perubahan ,ya udah lanjut aja kebetulan emang gak niat sama sekali beli 17 biasa atau 17 air rencananya mau beli 16 pro max atau 17 pro kalo sudah ready di indonesia ane nunggu review lain kali aja ip 17 pro nggak terlalu worth it biasanya dua bulan tiga bulan baru ketahuan kekurangan produk baru iphone terutama zoom soalnya ini fitur yg paling ane incer kalo yg lain sama aja gak ada perubahan ,ya sudah lanjut saja kebetulan memang tidak niat sama sekali beli 17 biasa atau 17 air rencananya mau beli 16 pro max atau 17 pro kalau sudah ready di indonesia ane menunggu review lain kali saja iphone 17 pro tidak terlalu worth itu biasanya dua bulan tiga bulan baru ketahuan kekurangan produk baru iphone terutama zoom soalnya ini fitur yang paling ane incer kalau yang lain sama saja tidak ada perubahan,0,ya sudah lanjut saja kebetulan memang tidak niat sama sekali beli 17 biasa atau 17 air rencananya mau beli 16 pro max atau 17 pro kalau sudah ready di indonesia ane menunggu review lain kali saja iphone 17 pro tidak terlalu worth itu biasanya dua bulan tiga bulan baru ketahuan kekurangan produk baru iphone terutama zoom soalnya ini fitur yang paling ane incer kalau yang lain sama saja tidak ada perubahan
David beli hp balik modal,David beli hp balik modal,david beli hp balik modal,david beli hp balik modal,0,david beli hp balik modal
